,brand,model,top_speed_kmh,battery_capacity_kWh,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type
267,NIO,EL6 Standard Range,0.375,0.5398138572905895,0.5185185185185185,0.27586206896551724,0.4181818181818182,0.136094674556213,0.32142857142857145,CCS,0.48000000000000004,0.30593280914939247,0.4285714285714285,AWD,JE - Executive,0.5393356643356646,0.8191489361702127,0.5692541856925417,SUV
268,NIO,EL7 Long Range,0.375,0.7104446742502586,0.6296296296296297,0.29118773946360155,0.5363636363636364,0.10059171597633132,0.28174603174603174,CCS,0.8,0.29949964260185846,0.4285714285714285,AWD,JF - Luxury,0.5646853146853146,0.8021276595744684,0.5951293759512937,SUV
269,NIO,EL7 Standard Range,0.375,0.5398138572905895,0.6296296296296297,0.34099616858237547,0.4,0.10059171597633132,0.32142857142857145,CCS,0.8,0.29949964260185846,0.4285714285714285,AWD,JF - Luxury,0.5646853146853146,0.8021276595744684,0.5951293759512937,SUV
270,NIO,EL8 Long Range,0.375,0.7104446742502586,0.6296296296296297,0.29118773946360155,0.5545454545454546,0.11242603550295852,0.6388888888888888,CCS,0.8,0.08148677626876341,0.5714285714285714,AWD,JF - Luxury,0.6464160839160842,0.8063829787234038,0.6407914764079146,SUV
271,NIO,EL8 Standard Range,0.375,0.5398138572905895,0.6296296296296297,0.33333333333333337,0.40909090909090906,0.11242603550295852,0.32142857142857145,CCS,0.8,0.08148677626876341,0.5714285714285714,AWD,JF - Luxury,0.6464160839160842,0.8063829787234038,0.6407914764079146,SUV
272,NIO,ET5 Long Range,0.375,0.7104446742502586,0.5185185185185185,0.2222222222222222,0.6636363636363636,0.10650887573964493,0.28174603174603174,CCS,0.56,0.16797712651894212,0.4285714285714285,AWD,E - Executive,0.5113636363636362,0.7446808510638299,0.2587519025875191,Sedan
273,NIO,ET5 Standard Range,0.375,0.5398138572905895,0.5185185185185185,0.25287356321839083,0.5,0.10650887573964493,0.32142857142857145,CCS,0.56,0.16797712651894212,0.4285714285714285,AWD,E - Executive,0.5113636363636362,0.7446808510638299,0.2587519025875191,Sedan
274,NIO,ET5 Touring Long Range,0.375,0.7104446742502586,0.5185185185185185,0.26436781609195403,0.6363636363636364,0.10650887573964493,0.42063492063492064,CCS,0.56,0.2137240886347391,0.4285714285714285,AWD,E - Executive,0.5113636363636362,0.7446808510638299,0.2587519025875191,Station/Estate
275,NIO,ET5 Touring Standard Range,0.375,0.5398138572905895,0.5185185185185185,0.2298850574712643,0.4818181818181818,0.10650887573964493,0.32142857142857145,CCS,0.56,0.2137240886347391,0.4285714285714285,AWD,E - Executive,0.5113636363636362,0.7446808510638299,0.2587519025875191,Station/Estate
276,NIO,ET7 Long Range,0.375,0.7104446742502586,0.6296296296296297,0.26436781609195403,0.6727272727272727,0.09467455621301771,0.28174603174603174,CCS,0.8,0.15153681200857758,0.4285714285714285,AWD,F - Luxury,0.64729020979021,0.8021276595744684,0.2739726027397258,Sedan
